country,name,address,sector,lat,lng
CHINA,WENZHOU JIETU(AOLUN) SHOES FACTORY,"NO.8 SHUANGBAO WEST ROAD, OUHAI ECONOMIC DEVELOPM P.C. 325014, WENZHOU, CHINA",Apparel,27.96542,120.65768
CHINA,"QUANZHOU XINXING FOOTWEAR CO., LTD","WUYI INDUSTIAL ZONE, BAIQI VILLAGE, HUI'AN COUNTY,QUANZHOU CITY, FUJIAN PROVINCE□",Apparel,24.8808,118.71539
CHINA,QIANG XING FOOTWEAR LTD,"NO.3 OF FIRST LANE LONGZHU ROAD,NANQU SHANG TANG INDUSTRIAL ZONE ,ZHONGSHAN CITY ,GUANGDONG PROVINCE",Apparel,22.485429,113.354416
CHINA,SHANTOU CITY OVERSEAS CHINESE UNION TEXTILES & ARTS LIMITED,"2/F BLOCK 1, NO. 79 JINHU ROAD, SHANTOU CITY, GUANGDONG, CHINA",Apparel,23.37376,116.71342
CHINA,JIAXING ZHUOCHEN TRADE CO LTD,NO.1446 TUDIAN ROAD TONGXIANG CITY ZHEJIANG PROVINCE CHINA,Apparel,30.62425,120.56852
CHINA,NINGBO HUAYI GARMENTS CO LTD,"NO.11 DONGQIAN LAKE AREA,YINXIAN AVENUE,NINGBO,CHINA",Apparel,29.7505682,121.656829
CHINA,NANJING UNISON TRADING CO LTD,"NO.1 BLUDING ,NO,2 YING HU INDUSTRIAL PARK,AN QING ECONOMIC DEVELOPMENT ZONE AN QING/MS.FENG HONG",Apparel,30.5429399,117.06354
CHINA,NINGBO RIZI DRESSES CO LTD,"NO. 20 WENWEI ROAD,GULIN TOWN.NINGBO.CHINA",Apparel,29.72944,121.82664
CHINA,FU WING GARMENT FACTORY LTD,"NO.11 LE XING ROAD.LE CHONG DEVELOPMENT ZONE,SAN BU DISTRICT,KAIPING CITY GUANGDONG PROVINCE CHINA",Apparel,21.23575,110.40178
CHINA,DONGSHEN RIMING (HESHI GARMENT FACTORY),"DONGSHENG  RIMING DEVELOPMENT LTD.WENMING  ROAD NO.28, XIAOXIANG, WANJIANG ZONE, 523048, DONGGUAN,GUANGDONG,CHIN",Apparel,22.73149,113.83353
CHINA,SUZHOU INDUSTRIAL (SHAMASH) (FREESILK),"NO.2,DONGJING INDUSTRIAL ZONE, DONGFU ROAD, S.I.P  CHINA 215123",Apparel,28.09674,113.03844
CHINA,WANCORD GARMENT FACTORY LTD,"BLOCK A, 5/F, YUEGE STRUCTURE, YUCHENG NORTH ROAD WEST,□LUN JIAO TOWN, SHUNDE DISTRICT, FOSHAN,GUANGDONG, CHINA□",Apparel,22.88636,113.22805
CHINA,"SHANGHAI JINLIN TEXTILE CO., LTD","NO 1528 HUBIN ROAD, HUQIAO TOWN, FENGXIAN DISTRICT",Apparel,30.84483,121.4217
CHINA,EVER SMART INTERNATIONAL ENTERPRISE LTD.,"15TH FLOOR,B BUILDING,MINGFENG PLAZA.KANGLE SOUTH ROAD.HOUJIE TOWN,DONGGUAN CITY ,GUANGDONG PROVINCE,CHINA",Apparel,22.92033,113.65718
CHINA,"XINHUIFU SHOES&CLOTHING CO.,LTD","SHICHUN VILLAGE, CHIDIAN TOWN, QINGMENG SECOND ECONOMIC DEVELOPMENT ZONE,  QUANZHOU CITY, FUJIAN PROVINCE",Apparel,24.865777,118.578996
CHINA,"WENZHOU OUHAI LAOLAISI SHOES CO ., LTD","NO 26 HONGMEI ROAD OUHAI ECO DEV ZONE, WENZHOU",Apparel,27.96852,120.65886
CHINA,"JOHNWAY (NINGBO DEVIN INT CO.,LTD)","4F OF JIUXIN COPPER BUILDING, NO. 11 XIAZHOU, ZEGUO, □P.R. CHINA, 317500, WENLING",Apparel,28.49915,121.3623
CHINA,"CHANGZHOU ONLYONE FOOTWEAR CO.,LTD","1201 NO 107 MISHIHE ROAD,ZHONGLOU AREA,CHANGZHOU CITY, JIANGSU, CHINA",Apparel,31.78206,119.94479
CHINA,"ZHEJIANG GOODWILL CUNSUMABLE GOODS CO.,LTD","3--401 JINYAYUAN,XIANLINDONGEAST ROAD,YUHANG AREA,HANGZHOU,ZHEJIANG, CHINA",Apparel,30.4187503,120.2985013
CHINA,"SUPER TRADING&MANUFACTURING CO.,LTD","RM.514,INNOVATION PLAZA,TIANAN HI-TECH ECOLOGICAL PARK,555 PANYU RD. PANYU,GUANGZHUO,CHINA□",Apparel,22.9377199,113.38424
CHINA,CORTINA CHINA OFFICE,"NIUDUN INDUSTRIAL AREA, HENGLI VILLEAGE, WANGNIUDUN TOWN, DONGGUAN,GUANGDONG",Apparel,23.05537,113.65617
