country,name,address,sector,lat,lng
Peru,Bergman Riveria - Serflex S.A.C.,Av Universitaria 3855 - San Martin De Porres Lima,Apparel,-11.9890109,-77.08165129999999
China,"Chen Feng (Jiangsu) Apparel CO., LTD.","NO.99 Jinhu Road, Jintan City, Jiangsu Province",Apparel,31.73706,119.61859
Portugal,Crispim Abreu,"Rua de Sao Bartolomeu, Serzedelo, Riba Dave 4765 918",Apparel,41.4009731,-8.382156
China,Dongguan Quality Knitwear Limited,"Shujiu Village, Changping Town, Dongguan City, Guangdong Province, 523569",Apparel,22.9749,113.993
US,Groceries Apparel,5510 S. Soto Street Unit A Vernon CA 90058,Apparel,33.992395,-118.219131
China,Hemp Fortex,"No 808, Shujing Village, Chendong industrial zone Dagushan Town Rushan City, Shandong Province",Apparel,36.918502,121.635284
Mexico,Hong Ho Mexico S.A .DE C.V.,"Tablaje Catastral 5539, Parque Industrail Coprovalsa, Valladolid Yucatan Mexico C.P. 97780",Apparel,20.6974503,-88.2172502
China,"Jiangsu Asian Sourcing Headwear MFG. Co., Ltd","No. 2 South Guangzhou Road, Huai'an City 223005",Apparel,33.59433,119.11035
Portugal,Mundo Textil SA,"Rua da Saudade, Nº 280-400 -4815-413 Caldas de Vizela",Apparel,41.3669603,-8.3057672
United States,Nester Hosiery,"1546 Carter Street, Mount Airy NC 27030",Apparel,36.4741404,-80.610547
United States,Off The Wall Print,"657 S. Anderson ST, LA CA 90023",Apparel,34.0364288,-118.2234675
Vietnam,Saitex International Dong Nai (VN) LTD.,"Lot 226/8, Street 13 Amata Industrial Park, Long Binh Ward Bien Hoa Dong Nai Vietnam 810000",Apparel,10.9515949,106.8717362
Sri Lanka,Smart Shirts Limited KAT 1,"Smart Shirts (Lanka) Kat 1 No. 10 Off Airport Road Investment Promotion Zone, 11450, Katunayake",Apparel,7.172484899999999,79.8853484
Sri Lanka,Smart Shirts Limited KAT 3,"Smart Shirts (Lanka) Limited Kat 3 Spur Road 2, 11450 Sri Lanka, Katunayake",Apparel,7.172484899999999,79.8853484
Peru,World Textile Sourcing - Corcelli S.A.C.,"Corcelli S.A.C., Psje. Julio Vega Solis Lote A-4, Lima 09- Chorrillos Lima",Apparel,-12.1746989,-77.0178909
