country,name,address,sector,lat,lng
Bangladesh,KSI (Karnaphuli Shoes Industries- Garment Division),"Korean Export Processing Zone,Anwara,Chittagong",Apparel,22.2337164,91.8659809
Bangladesh,RSI Apparels Ltd,"Plot # 35,Sector # 4,Road # 4,Chittagong Export Processing Zone,Chittagong",Apparel,22.2929379,91.77662049999999
Bangladesh,Youngone (CEPZ) Limited,"Plot #11-16,Sector 2,Chittagong",Apparel,22.2875867,91.7776179
Cambodia,CPCG International Co. Ltd,"Sruk Choeung Brey,Kampong Cham Province",Apparel,12.0982918,105.3131185
Cambodia,Sabrina (Cambodia) Garment Manufacturing Corp.,"National Rd.,No. 4,Phum Trapaing Reussey,Khum Sambo Samrong Torng District,Kampong Speu Province",Apparel,11.4079762,104.5422225
Cambodia,Reliable Source Industrial (Cambodia) Co. Ltd.,"PPhum Kral Dumrey,Sankat Kakab,Khan Dankor,Phnom Penh",Apparel,11.5525318,104.8512993
Canada,Pacifica Manufacturing Inc.,"1396 E 3rd Ave,Vancouver",Apparel,49.26774169999999,-123.0760679
Canada,Mondor Ltd.,"785 Honore Mercier,St-Jean-sur-Richelieu",Apparel,45.3049211,-73.2365832
China,Dongguan WeiHua Handbag Company Limited,"16 Zhen Xing Nan Road,Gao Bu,Dongguan",Apparel,23.07478,113.57152
China,Shanghai Weijie Garment Co. Ltd,"1228 Huiping Road,Nanxiang Jiading",Apparel,31.30309,121.28187
China,Far Eastern Apparel (Suzhou) Co. Ltd,"88,Tian Ling Road.,SuZhou",Apparel,31.2451253,120.6430529
China,Eagle Nice(YiFeng) Garments Co. Ltd.,"No.76 Gongzhang Road,Yifeng",Apparel,28.3799396,114.8446456
China,Zhejiang Huizhong Garment (SC China),"No.123,Cheng Gong Road,Huiming Street,Jiashan",Apparel,30.86794,120.96659
China,Zhejiang Cayi Vacuum Container Co Ltd.,"No.3,Jinniu Rd,Wuyi",Apparel,28.92781,119.86806
China,Shanghai Reliable Source Industrial Co. Ltd.,"No.88 Yulu Rd.,Malu Town,Shanghai",Apparel,30.94852,121.09135
China,Kwong Wai Knitting Limited,"Taiyangao,Ping Shen Road,Huidong",Apparel,34.012604,118.002371
China,Chong Fu Knitters Company Limited,"The 2nd of Three Remit Industrial Area,Cunwei Village,Dongguan",Apparel,23.03181,113.99488
China,Dongguan Seeds Garment Manufacturing Limited,"Xiansha Industrial District,Dongguan",Apparel,23.106652,113.755048
Colombia,Crystal SAS,"CARRERA 48 # 52 SUR 81,Sabaneta",Apparel,6.1607899,-75.60524699999999
El Salvador,Textiles Opico S.A de C.V,"KM 31.4 Carretera a Santa Ana,La Libertad",Apparel,13.6817661,-89.3606298
El Salvador,Youngone El Salvador SA,"Zona Franca Internacional,Olocuilta",Apparel,13.5529906,-89.116822
Haiti,MAS Akansyel S.A,"Route de Caracol,No. 14,Caracol,Building C,Caracol",Apparel,19.6924758,-72.0179236
Indonesia,PT Ungaran Sari Garments - Pringapus,"Jalan Raya Pringapus KM 5 - Kelurahan Pringapus,Kecamatan Pringapus,Kabupaten Semarang,Kabupaten Semarang",Apparel,-7.1881953,110.4614698
Indonesia,PT Dragon Forever,"JI Belitung Blok D35/36,Jakarta Utara",Apparel,-6.1422373,106.9259139
Indonesia,PT. Hand Sum Tex,"Jl,Mauk Km 3,Desa Geleong Bugel 8,Jakarta",Apparel,-6.171453,106.6061072
Israel,Delta Socks,"11 Hanapah Street,Karmiel",Apparel,32.9222569,35.3211411
Peru,Cititex,"5755 Los Estanos Street,Lima",Apparel,-11.9668868,-77.06325749999999
Peru,COFACO Industries SAC,"Ave. San Andres 6299,Lima",Apparel,-11.9549531,-77.06699290000002
Peru,Textil Del Valle S.A.,"Panamerica Sur Km. 200,Ica",Apparel,-13.6983686,-76.15250189999999
Philippines,Feeder Apparel Corp.,"Block C5,5th St. Cor. 2nd Ave. MEZ 1,Lapu-Lapu / Cebu",Apparel,10.328071,123.983185
Philippines,Charter Link Clark Inc. Philippines,"Panday Pira Ave. Ext. 1E1 Phase II Clark,Clarkfield",Apparel,12.879721,121.774017
