country,name,address,sector,lat,lng
Bangladesh,Supreme Embellishment Ltd.,"140/1,East Bagbari,Kashimpur. Gazipur,Dhaka. Bangladesh",Apparel,23.9388012,90.29227399999999
Bangladesh,Fair Design Printing,"Shi-140/1,Chandpara,Bason Sorok,Gazipur. Bangladesh",Apparel,23.9725465,90.3642437
Bangladesh,One Composite Mills LTD.,"Vill- Bishuya Kuribari,P.O.- Mirzapur Thana- Gazipur Sadar,Dist- Gazipur,Bangladesh.",Apparel,24.1315156,90.403094
Bangladesh,Shine Embroidery Ltd.,"Vill.- 198 Gazir Chat,Maddhapara P.O.: Alaya Madrasha P.S.: Ashulia,Dhaka. Bangladesh",Apparel,23.9236434,90.2854839
Bangladesh,Impress Printing & Embroidery,"Vill.- 75,Kamarpara P.O.: Nishadnagar P.S.: Turag,Dhaka,Bangladesh",Apparel,23.8892301,90.3830754
Bangladesh,SUPREME STITCH LTD.,"WEST SAILDUBE,KASHIMPUR,GAZIPUR,DHAKA,BANGLADESH",Apparel,23.9845353,90.3219053
China,Jung Myung Textile (Shaowu) Co. Ltd.,"289 Jiefang West Road,Yuewang Industrial Zone Shaowu City. Fujian  China",Apparel,27.3596705,117.4643727
China,Suzhou Jinyuda Textile Co. Ltd,"36-8 Rainbow Road,Luzhi Town. Suzhou,Wuzhong. China",Apparel,31.26710599999999,120.863057
China,HANGZHOU MINGLIU GARMENT IND.CO.LTD,"No. 308 Shiqiao Road No. 7 Building Tiantang Developmental District,Hangzhou,China",Apparel,30.17859,120.21541
China,Changshu Jieliang Knitting Co. Ltd,"No. 5 NanXin Road,Changkun Industrial Park Changshu - China",Apparel,31.5605664,120.8441321
China,Huai An Yuan Tong Headwear Mfg. Co. Ltd.,"No.1 Yan Huang Avenue Lian Shui New Industrial Zone,Huai An,Jiangsu 223400. China",Apparel,33.787723,119.26618
China,Lion Brothers (Shenzhen) Co. Ltd.,"No.62,Alley #4 Shangbei,Shangnan Industrial Zone. Shajing Town,Bao'an District,Shenzhen City, Guangdong Province, China",Apparel,22.73911,113.80547
China,Nantong Jackbeanie Headwear & Garment Co. Ltd.,"No.808,the third industry park,Guoyuan Town,Nantong 226500. China",Apparel,31.9795799,120.89371
China,CHANGZHOU SHUNYAO APPAREL CO. LTD,"No.88 Chenfeng RoadMaolu TownXuebu Village,Changzhou City,57471,China",Apparel,31.75741,119.65855
China,FUQING DENG FENG SHOES CO. LTD,"QIYUN VILLIAGE,JINYANG TOWN,CHINA",Apparel,25.7879799,119.29837
China,DONGGUAN JIANISI GARMENT CO. LTD.,"TANG ZHOU ROAD,LI JIA FANG VILLAGE,SHI PAI TOWN,DONGGUAN,GUANGDONG PROVINCE, CHINA",Apparel,23.01902,113.822852
China,HUIHAI SPORTS GOODS DRESS CO. LTD,"Xiangcheng District Huangqiao Hedong Industrial Park Hezhong Road Suzhou,Suzhou China",Apparel,31.20024,120.67395
El Salvador,Decotex International Ltda. De C.V.,"American Industrial Park,Block H Calle Canada. Km 36 Carretera a Santa Ana. Ciudad Arce. El Salvador.",Apparel,13.8536285,-89.45353569999999
El Salvador,Industrias Merlet S.A. de C.V.,"Calle Circunvalacion,Pol. A No.3 Urb. Industrial La Laguna,Antigua Cuscatlan,La Libertad,El Salvador",Apparel,13.6760106,-89.2551933
El Salvador,Confecciones del Valle S.A. de C.V.,"Exportsalva Free Zone,Km 24 Carretera a Santa Ana. Colon,La Libertad. El Salvador.",Apparel,13.7319174,-89.3582022
El Salvador,Hanesbrands El Salvador Sew,Parque Industrial Sam Li. Km 31.5 Carretera a Santa Ana. San Juan Opico. La Libertad. El Salvador.,Apparel,13.7863842,-89.37846479999999
Guatemala,IMPROTEX,"1 Avenida 39 San Pedro Sacatepequez,Guatemala",Apparel,14.6841391,-90.64174009999999
Guatemala,Texsun S.A.,17 Ave. 40-76 Zona 12. Guatemala. Guatemala.,Apparel,14.5718689,-90.54784610000002
Guatemala,JNB Trading S.A.,"Kilometro 13.5 Carretera al Salvador Puerta Parada,Santa Catarina Pinula. Guatemala.",Apparel,14.5555323,-90.4564412
Guatemala,Mata Textiles S.A. / El Trazo S.A.,Km 16.5 Carretera a San Juan Sacatepequez. Parque Industrial Mixco Norte. Bodega C10-C11. Mixco. Guatemala.,Apparel,14.6702376,-90.6170987
Honduras,Hanes Ink S.A. de C.V.,"PARQUE INDUSTRIAL Inhdelva Norte,Edificio 11 y 12,Cortes Honduras",Apparel,15.6096723,-87.9648323
Honduras,Hanes Choloma,"Parque Industrial Zip Choloma,Colonia La Mora,Choloma,cortes. Honduras",Apparel,15.603226,-87.9573723
Honduras,Jasper Honduras S.A.,"ZIP Honduras,Km. 5 Carretera a Puerto Cortes. Edificios 16 - 19. choloma. Cortes,Honduras.",Apparel,15.825072,-87.92857769999999
Honduras,Industrias de Exportacion S.A. de C.V.,Zona Libre Metropolitana (Jacaleapa) Contiguo a Unitec. Tegucigalpa. Honduras,Apparel,14.048137,-87.1741084
Indonesia,Ungaran Printing Apparel Factory,"Jl . Letjend Soeprapto Gg,Serayu I No.1 Sidomulyo,Ungaran. Semarang. Indonesia",Apparel,-7.1367634,110.4134092
Indonesia,PT Ungaran Indah Busana,"JL Raya Karang Jati Pringapus Km.5. Ungaran,Semarang 50552. Indonesia.",Apparel,-7.1871078,110.4558218
Indonesia,PT Eins Trend,JL. Raya Sadang-Subang Kp. Kiara Dua Rt.10/03 Desa Cikumpay Kec.Campaka Kab. Purwakarta 41181. Indonesia.,Apparel,-6.4833672,107.4943069
Jordan,Classic Fashion Apparel Industry Ltd. Co.,"Al-Hassan Industrial Estate,PO Box: 54,Ramtha,Irbid,Jordan, Zip Code:21467",Apparel,32.5009223,36.0299444
Jordan,United Creations LLC,"PO Box#54,Post Code 13136,Plot# 614,Block # 5,Ad-Dulayl Industrial Park(Qiz) -Ad Dulayl-Jordan",Apparel,32.1209259,36.2893889
Mexico,GFSI Southwest S. de R.L. de C.V.,"PRIVADA MARTEL SN MANZANA 4,LOTE 7 & 8,Reynosa",Apparel,26.0508406,-98.29789509999999
Nicaragua,Centro Textil S.A.,"Zona Franca Internacional Chinandega,KM 124 Carretera Leon-Managua. Chinandega. Nicaragua",Apparel,12.6234721,-87.1273253
USA,Impress Designs Inc.,"1404 W Main St.,Carrolton,Texas",Apparel,32.951219,-96.91132999999999
USA,OT Sports,"172 Boone Street,Burlington,NC 27215. USA",Apparel,36.0753552,-79.4164519
USA,Atlantis Sportswear,"344 Fox Dr. Piqua,Ohio",Apparel,40.1240615,-84.2440032
USA,GTM Sportwear,"520 McCall Rd.,Manhattan,KS",Apparel,39.1879912,-96.5498677
USA,TNT Printwear,"860 Main St.,Barnwell,South Carolina",Apparel,33.2453351,-81.35270419999999
USA,GFSI - Lenexa (Commerce Pkwy),"9700 Commerce Parkway,Lenexa,KS",Apparel,38.9533222,-94.766408
