country,name,address,sector,lat,lng
PK,BOX RING,"MAQBOOL ROAD ,NOAL MORE OPP WAZIRABAD ROAD, Sialkot, 51310, Punjab",Apparel,32.4998681,74.4937034
ES,"Industrias Químicas Perlacos, S.L.","c/ Berlin, 33 - Pol. Ind., Torres de la Alameda, 28813, Madrid",Apparel,40.4054714,-3.3615643
CN,"Jiangsu Feilong Plastic Co., Ltd ","NO.158 HUBIN SOUTH ROAD ,LUJIAXIANG, NIUTANG TOWN, WUJIN DISTRICT, ChangZhou, 213168, Jiangsu",Apparel,31.69992,119.90076
CZ,A.Schmied s.r.o.,"Husova 560, PO-Box 42, Trhove Sviny, 37401, Jihocesky",Apparel,48.8423175,14.6392384
JP,Daitatsu Co Ltd,"111, Gohmae, Ojima-Cho, Nishio, 445-0006, Aichi",Apparel,34.8844587,137.091156
PR,Protego,"147 Comercio Avenue, Hatillo, 659, Hatillo",Apparel,18.4863331,-66.82545449999999
EG,FUTURE FASHION,"92 A-1st industrial Zone, (Free Zone), Giza, 12581, 6th of October",Apparel,29.92702379999999,30.8843434
CN,"ZhuJi HuaLiDa Knitting and Textile Co., Ltd.","Chuntang West Village,, Caota Town,, Zhuji City, 311812, Zhejiang",Apparel,29.68331,120.13855
GT,Mata Textiles S.A.,"KM 16.5 Carretera A San Juan Scatepequez, Parque Industrial Mixco Norte Lote C10-11 , Mixco, 1006, Guatemala",Apparel,14.6702376,-90.6170987
CN,"Shanghai Qianrun Garments Co., Ltd","No.233, Lane1888, Daye Road,, WuQiao Industrial Zone,, FengXian District,, Shanghai, 201402, Shanghai Shi",Apparel,30.9574299,121.39279
SV,Textiles Opico SA de CV,"KM 31.4 Carretera a Santa Ana, San Juan Opico, 1101, La Libertad",Apparel,13.8758656,-89.3582599
VN,"PHI Co., Ltd.","No. 10, Dai An Industrial Zone, Tu Minh , Hai Duong, 17000, Hai Duong",Apparel,20.9335662,106.2687817
CN,Regina Miracle Intimate Apparel (Shenzhen) Ltd.,"No.5 Cengyao Industrial Estate Yulu, Gongming Baoan ,Shenzhen,Guangdong, P.R.China , Gongming Yulu, Bao'an District, Shenzhen, 518132, Guangdong",Apparel,22.7265199,113.90445
CN,"Shanghai Weijie Garment Co., Ltd.","No. of 1228, Huiping Road,, Nanxiang Town, Jiading District, Shanghai, 201802, Shanghai",Apparel,31.29412,121.32027
CN,ZHUCHENG HENGWEI CLOTHING CO.LTD,"Southern head of east ourter ring, Shandong Province, Zhucheng City, 262200, Shandong",Apparel,36.62517,119.21849
ID,PT. Kanindo Makmur Jaya,"Jl. Raya Jepara Kudus KM 19,, Ds. Pendosawalan,, Kecamatan Kalinyamatan, Kabupaten Jepara, 59462, Jawa Tengah",Apparel,-6.732359,110.7302234
CN,"Kunshan Gea-Reach Garments Co., Ltd.","No.577 Jiguang North Road, Shipu Qiandeng Town, Kunshan, 215343, Jiangsu",Apparel,31.268048,121.004053
CN,MOLTEN SPORTS (SIHONG) CORPORATION,"28 Hongyuan Road , Sihong Economic Development Zone, Suqian, 223900, Jiangsu",Apparel,33.4723445,118.1970359
CA,CYC Manufacturing,"68 East 1st Ave, Vancouver, V5T 1A1, British Columbia",Apparel,49.2699355,-123.1035553
CN,CHANGSHU KINSEI FASHION CO LTD,"No.1 MEIBEI RD, MEILI TOWN,, CHANGSHU, 215511, Jiangsu",Apparel,31.7157,120.86374
CN,FOSHAN SHUNDE STRATEGIC GARMENT LTD,"Chencun Industrial Park, Shun De, Fo Shan, 528313, Guangdong",Apparel,22.954662,113.23488
