country,name,address,sector,lat,lng
Bangladesh,Alif Embroidery Village Ltd.,"Bangobandhu Road, Tangabari, Ashulia, Savar, Dhaka 1341",Apparel,23.896017,90.3229675
India,Ambathur Clothing Private Ltd.,"No. D16, Industrial Estate, Ambathur, Chennai - 600 058",Apparel,13.096298,80.173465
China,Anhui Beiyade Garment Co. Ltd. (YinShanHong),"Industrial Concentration District Zhenbei District, Shiqiao Dangtu, Maanshan City, Anhui Province",Apparel,31.439093,118.607004
India,Bhartiya International Ltd.,"Apiic Industrial Park, Kondur Village, Tada Mandal, Spsr Nellore Dist, 524401",Apparel,13.661886,80.0036922
China,Changshu Kailan Knitting Co. Ltd.,"No. 8, Penghu Road, New & Hi-tech Industrial Development Zone ",Apparel,35.86166,104.195397
China,Changzhou Ability Garments Co. Ltd.,"No. 69 Qing Yang North Road, Changzhou, 213021",Apparel,31.7797764,120.0200116
China,Changzhou Beisheng Garments Co. Ltd.,"Fukang Road, Xinbei District, Changzhou, Jiangsu Province",Apparel,31.84269,119.92019
China,Changzhou Xuenaili Garment Co. Ltd.,"West Street, Daibu Town, Liyang City, Changzhou, Jiangsu Province",Apparel,31.30992999999999,119.49254
Bangladesh,DB-Tex Ltd.,"Nayapara, Kashimpur, Gazipur",Apparel,23.9887791,90.3209478
Mauritius,Denim De L'Ile Ltd.,"Royal Road 30904, Ile D'Ambre,  Riviere Du Rempart ",Apparel,-20.0336111,57.695
China,Donglong (Tancheng) Garments Co. Ltd.,"Yanghong Road Yangji Town, Tancheng City, Shandong Province",Apparel,34.43805,118.25674
China,Duocai Fabric Print Factory,"Baoshan Village, Ganpu Town, Hanyan count, Jiaxing, Zhejiang Province",Apparel,30.397162,120.855089
Bangladesh,Echotex Ltd.,"Chandra, Pollibidyut, Kaliakior, Gazipur",Apparel,24.0378585,90.2563548
Bangladesh,Epyllion Style Ltd.,"Nayapara, Vhawal Mirzapur, Gazipur Sadar, Gazipur",Apparel,24.0872699,90.3455675
Bangladesh,Epyllion Washing Ltd.,"Jangaliapara (Bangla Bazar), Bhawal Mirzapur, Gazipur, 1703",Apparel,24.0891747,90.37819739999999
India,Eureka Leather Garments ,"SF. No. 195/1, 196/1 M.C. Road, Pachakuppam- Village, Vadaputhupattu- Post, Ambur-Taluka, 635812",Apparel,12.7881488,78.7233082
Vietnam,Everpia Jointstock Company,"Noi Thuong Residential Area, Duong Xa Commune, Gia Lam District, Ha Noi City",Apparel,21.0024138,105.9641124
India,Evolv Clothing Company Pvt. Ltd. - Padalam,"No. 14/2; 3/3; Vedanthangal High Road, Kolambakkam, Maduranthagam Taluk, Tamil Nadu 603308, Chennai",Apparel,13.0826802,80.2707184
India,Evolv Clothing Company Pvt. Ltd. - Perungudi,"No. 33 & 41 Corporation Road, 4th Street, Perungudi, Tamil Nadu, 600096, Chennai",Apparel,12.9547931,80.2388189
Bangladesh,Eypllion Style Ltd.,"Bahadurpur, Vawal Mirzapur, Gazipur Sadar, Gazipur, 1703",Apparel,24.0850074,90.350861
China,Felix Hangzhou Garments Co. Ltd.,"No. 7, Jingxing Road, Economic Development Zone, She County, Huangshan City, Anhui Province",Apparel,29.89886,118.46456
Bangladesh,Genesis Fashions Ltd. ,"126/1 Kadda Nandun, Kadda Bazar, Gazipur Sadar, Gazipur Dhaka",Apparel,24.0006245,90.4179371
China,Grandshine Technology Co. Ltd.,"3F, Jinchangda Industrial Park, Zhangkengjing, Guanlan, Bao’an District, Shenzhen, Guangdong",Apparel,22.7001946,114.0419169
China,Haiyan Shenda Clothes Co. Ltd. ,"314304 Haitang Street, Haiyan City, Zheijang",Apparel,30.38756,120.42848
Bangladesh,Hamza Textiles Ltd.,"Nayapara, Kashimpur, Gazipur",Apparel,23.9887791,90.3209478
China,Hang Ngai Garment Ltd.,"1-3 Floor, No. 9 Building, 82 Shjqi Village, Shiqian Road,Shiqi Town, Panyu, Guangzhou",Apparel,22.95239,113.43813
China,Hangzhou Fuyang Zhongrui Knitting Mill,"Huajia Natural Village, GuaQiao Bu Village, Changkou Town, FuYang District",Apparel,29.900998,119.869131
China,Hangzhou Yingli Garments Co. Ltd.,"Dingshan Street, Wangmei Road, Linping, Hangzhou, Zhejiang Province",Apparel,30.453765,120.213334
China,High Fashion Co. Ltd.,"No. 8 Qiannong Road, Xiaoshan ETDZ, Hangzhou, 311231",Apparel,30.2355251,120.3238126
China,Honglilai Leather & Garment Co. Ltd. ,"Bin Cheng Industry Zone, Dong Hai, Feng Ze District Quanzhou",Apparel,24.87943,118.62438
China,Huai An Yuan Tong Headwear Mfg. Co. Ltd.,"No. 30 & 32 Yan Huang Avenue, Lian Shui Economic Development Zone, Jiang Su Province",Apparel,33.787723,119.26618
Vietnam,Hung Long Printing Company Ltd.,"Hau Village, Dai Lam Commune, Lang Giang District, Bac Giang Province",Apparel,21.2977688,106.2904635
UAE,Indigo Garments FZE,"Plot No. H1-03, 04 & 05 & P4-11, Sharjah Airport International Free Zone, Sharjah, Saif Zone",Apparel,25.3323584,55.4831661
UAE,Indigo Garments Workshop,"Plot No. 236, Sector 1, near Emirates Gas New Industrial Area, Ajman",Apparel,25.3916377,55.4899752
UAE,Indigo Garments Workshop BR-2,"Plot no. 104, Jurf Industrial 1, Near Ajman Car Souq, Ajman",Apparel,25.4022731,55.4938904
India,Indus Craft,"No. 58, Nallambakkam  Village, Via Vandalur, Chennai, 600048",Apparel,12.8912559,80.08100089999999
India,Jeans Knit Private Ltd Unit 3,"No 34/A, II Phase, Peenya Industrial Area, Bangalore, 561028",Apparel,13.0350599,77.52252940000001
India,Jeans Knit Private Ltd Unit 4,"No. 20-A/21-E, II Phase, Peenya Industrial Area, Bangalore, 562028",Apparel,13.0350599,77.52252940000001
India,Jeans Knit Private Ltd Unit 6,"Plot No. K56, K57 & K59, Sipcot Apparel Park, Irungattukottai, Sriperambudur, 602105, Chennai",Apparel,12.96779,79.9424669
India,Jeyam Printing,"No. 14/2,3/3, Vednathangal High Road, Kolambakkam Village, Kancheepuram Dist",Apparel,12.6053651,79.9207101
China,Jiang Su Runtian Garment Co. Ltd. ,"No.1 Wangyuan Rd, East Industrial Park, RuGao, Jiangshu, China",Apparel,32.3715999,120.57382
China,Jiangsu Ability Fashion Garments Co. Ltd. ,"No. 111 Huayang North Road, Jintan, Changzhou, 213200",Apparel,31.76709,119.59833
