country,name,address,lat,lng
CHINA,XIANG TENG HOME TEXTILES FACTORY,"ECONOMICAL DEVELOPING ZONE,7 SOUTH XI KANG ROAD,DA FENG DISTRICT,YANCHENG,JIANGSU,CHINA;",33.200333,120.50085
CHINA,YANGZHOU HENGTONG CAP & GLOVES CO LTD,"NO.18,JINSHAN ROAD,BALI TOWN,ECONOMIC & DEVELOPING AREA.,YANGZHOU,JIANGSU",30.741991,121.341969
CHINA,YANTAI PACIFIC HOME FASHION FUSHAN MILL,"NO. 188,PUWAN STREET,FUSHAN DISTRICT YANTAI,YANTAI,SHANDONG,CHINA;",37.517405,121.23711
CHINA,YUEYANG BAOLI TEXTILES CO LTD,"SHIFU INDUSTRIAL PARK,HUARONG COUNTY,YUEYANG,HUNAN,CHINA;",29.531057,112.540463
CHINA,ZHANGJIAGANG SUNRISE HOME TEXTILE CO LTD,"NO.63 NORTH ROAD,FENGHUANG TOWN,ZHANGJIAGANG,JIANGSU,CHINA;",31.875572,120.556005
CHINA,ZHAOYUAN CASTTE GARMENT CO LTD,"PANJIAJI VILLAGE,LINGLONG TOWN,ZHAOYUAN CITY,SHANDONG PROVINCE,ZHAOYUAN,SHANDONG",37.355469,120.434071
CHINA,ZHEJIANG JINO TEXTILES CO LTD,"79 XINSI ROAD,HANGZHOU LINPING,HANGZHOU,ZHEJIANG,CHINA;",30.4206,120.30185
CHINA,ZHEJIANG WEINA KNITTING INDUSTRIES CO LTD,"YIBEI INDUSTRIAL ZONE,SUXI TOWN,YIWU,ZHEJIANG,CHINA;",29.4002639,120.129008
INDIA,BALLYFABS INTERNATIONAL LTD,"3 HAREN MUKHERJEE ROAD,BELUR,HOWRAH,WEST BENGAL,INDIA;",22.6226309,88.355991
INDIA,JVS EXPORT,"MITPL,2,MITPL CAMPUS,BYE PASS ROAD T. VADIPATTI POST,MADURAI,TAMILNADU",9.9267769,78.0947748
INDIA,MUTHU EXPORT HOUSE,"S.F.NO:366 / 1A,D.NO:25,PERIYAKULATHUPALAYAM,VENKAMEDU,KARUR,TAMILNADU",10.9770793,78.08015929999999
INDIA,RIVIERA HOME FURNISHINGS PVT LTD,"PLOT NO 07 & 44,SECTOR 29,HUDA,PANIPAT,HARYANA",17.513591,78.463369
INDIA,WELSPUN INDIA LTD,"WELSPUN CITY ANJAR - BHACHAU ROAD,ANJAR,GUJARAT,INDIA;",23.1190041,70.06777520000001
