country,name,address,sector,lat,lng
Bangladesh,AKH Apparels Ltd,128 Hamayetpur PS-Savar Dhaka-1340 Bangladesh,Apparel,23.798635,90.2680347
Bangladesh,Pan Pacific sweaters Ltd.,222 South Salna Salna Bazar Gazipur Bangladesh,Apparel,24.0191527,90.3809957
Bangladesh,Pretty Sweaters Ltd.,495 Kuliarchor Tower Chayadan National University Gazipur-1704 Bangladesh,Apparel,23.9514618,90.3811618
Bangladesh,Pretty Wool Ware Ltd.,133-134(Ground & 3rd Floor) Hamayetpur Moheshpur Jhenaidah Bangladesh,Apparel,23.3598198,88.9171619
Bangladesh,S.Suhi Industrial Park Ltd,133-134(Ground & 4th Floor) Hamayetpur Ashulia Savar Dhaka Bangladesh,Apparel,23.9003712,90.3272255
Cambodia,JD & Toyoshima Co.,133-134(Ground & 5th Floor) Hamayetpur Klang Sambath Village Sangkat Puth Sor Khan Bathy Thakeo Province Cambodia,Apparel,10.9321519,104.798771
Cambodia,Liutan International(Cambodia) Co.,388 Liufeng Road Suzhou Wuzhong Economic Development Zone Prey Kes Village Prey Vihear Commune Kong Pisey District Kompong Speu Prvince Natinal Road 3 Cambodia,Apparel,11.3092805,104.708542
Cambodia,Makalot Garments(Cambodia) Co.,Blok Pajagan Desa Sinar Jati  Kec. Dawuan Majalengka Building H Soun Ouksahakam Vattanak Sangkat Stung MeanChey Khan MeanChey Phnom Penh Cambodia,Apparel,11.5396478,104.8863279
Cambodia,Morning Glory Garment Enterprise Co.Ltd,Charabag Wilson Industrial Park Building C & F Phum Psa Kombol S/K Kombol Khan Posenchay Phnom Penh,Apparel,11.5380176,104.8159741
Cambodia,Perfect Growth Private Co.,Chhun Hong Industrial Park Lots A02 6 National Road No. 4 Svay Chrum Village Bekchan Commune Ang Snoul District Kandal Province,Apparel,11.5947216,104.9305693
Cambodia,Solamoda (Cambodia) Garments Co.,Jalan Soekarno Hatta no.23 Located at 32 km of No.2 Highway Phnom Penh Cambodia,Apparel,11.5563738,104.9282099
Bangladesh,AKH ECO Apparels Limited,JI. Tegal Panas- Jimbaran RT.01 RW.01 Secang Samban Balitha Shah Belishwer PS-Dhamrai Dhaka-1800 Bangladesh,Apparel,23.9134629,90.1038868
Cambodia,Tai Yang Enterprise  Co.,Jinnanagor Bazar National Rd.4 Phum Bekchan Khum Bekchan Angsnoul District Kandal Province Cambodia,Apparel,11.5111674,104.7524744
China,Anhui New L'idole Group Co.,Jl. Raya Semarang Demak KM 18 Desa Dukun Kec Karang Tengah Intersection To Tangwang Road&Yinxing Road New South Zone Bozhou Anhui China,Apparel,33.8446099,115.77931
China,Anhui Sanmao Textile Co.,JL.Raya Soekarno Hatta KM9 1# Qianjiang Ave. Qianjiang Industry Park Guichi Chizhou Anhui China,Apparel,30.704175,117.538808
China,Changzhou Hualida Garments Group Co.,Lot 303 No.1108 Zhongwu High Road Changzhou Jiangsu China,Apparel,31.753622,119.930741
China,Cherry (Suzhou) Garment Ltd.,Lot 5026 Suzhou China,Apparel,31.29833989999999,120.58319
China,Jiang Su Best Fashion Dress Co. Ltd,No.88 Huanxi Road Zhutang Town Jiangyin City China,Apparel,31.76744,120.33705
China,Jiang Su Fort Une Brother Apparel Manufacturing Co Ltd. Ltd,Yanling Town Danyang City Jiangsu China,Apparel,31.882742,119.481108
China,Jiangsu Weiluyi Industrial Co. Ltd,No.12 Xuean Community Xuean Town Rugao City Jiangsu Province China,Apparel,32.455599,120.688278
China,Jiangyin Chenguang Garment Co. Ltd,No.18 Zhuwen Road Zhutang Town Jiangyin City China,Apparel,31.74722,120.42393
China,Jiangyin Kangli Clothing Co. Ltd,No.11 Yingbin Road Qiaoqi Xuxiake Town Jiangyin Jiangsu China,Apparel,31.73279,120.12269
Bangladesh,AKH Fashions Ltd Ltd,Savar Dhaka 1340 Bangladesh,Apparel,23.8478798,90.2575646
