country,name,address,sector,lat,lng
AUSTRALIA,Tripler Trading Co Pty Ltd,"40-46 Western Avenue,Tullamarine  Victoria  3043 Australia",Apparel,-37.683695,144.878524
CHINA,Yangzhou Yaxiya Headwear & Garment Co.Ltd,"Bali Town,Yangzhou Development Zone. Yangzhou,Jiangsu Province,China",Apparel,32.28898,119.40536
CHINA,ChiBi Wei Ren Clothes Making Co. Ltd,"No.138 Fa Zhan Da Dao,Chibi City,Xianning City,Hubei Sheng,China",Apparel,29.71095,113.8851
CHINA,New Treasure Clothing Co. Ltd,"No.41 Jiang Bin Road,Nanhai Area,Foshan City,Guangdong,China",Apparel,22.83194,112.98778
CHINA,Guang Chueng Garment Co. Ltd,"Road Cun Industrial Zone,Gaobu Town,Dongguan,Guangdong,China",Apparel,23.09099,113.7459
CHINA,Nantong Solamoda Garments Co.,"Ltd,Jiuhua Industrial Zone,Jiuhua Town. Rugao City,Jiangsu,China",Apparel,32.143203,120.694973
CHINA,Wenzhou Youmuren Leather Co.Ltd,"Wuniu Street,Yongjia province,Wenzhou City,Zhejiang,China",Apparel,28.1533599,120.6917099
CHINA,Jiangyin Rongjichan Sweater Garment Co. Ltd.,"No.60 Changshan Road,Economic Development Zone,Jiangyin,Jiangsu,China",Apparel,31.9352,120.45836
CHINA,Taishan Santos Garment MFG Co. Ltd,"Industrial Development District,Sanba Town,Taishan city,Guangdong,China",Apparel,22.29845,112.6889
CHINA,Jiaxing Sunshine Garment Co.Ltd.,"No. 26 Tongyi Road,Xinfeng Industrial  Zone,Nanhu District,Jiaxing City,China",Apparel,30.70463,120.90654
CHINA,Nantong Hengkang Textile.co.Ltd,"No. 288 Guo Qiang Road,Gangzha Area,Nantong City,Jiangsu,China,226011",Apparel,32.06406,120.89285
CHINA,Ningbo Jingye Fashion Co.Ltd.,"Baiyue lndustrial Zone,Jishigang Industrial Town,Ningbo,Zhejiang,China 315171",Apparel,29.8640411,121.4497245
CHINA,Ningbo Kangsheng Century Textiles Co. Ltd,"No. 105 Wuxiang North Road,Wuxiang Industrial Zone,Ningbo,Zhejiang",Apparel,29.85403,121.67847
CHINA,Advancetex Garment Manufacturer Pty. Ltd.,"No.10 Yun Shan Dong Road Huicheng Area,Huizhou City,Guangdong Sheng,China",Apparel,23.04673,114.41756
CHINA,Zhongshan Fungtex Garment Factory Ltd.,"No.38 ShengShi Section Kangle Bei Road Shaxi Town Zhongshan,City Guangdong,China,Cut & Sew Knitwear",Apparel,22.50901,113.29824
CHINA,Zhongshan Yi Jun Knitting Co Ltd,"No. 38 Changsheng Street,Souther District,Zhongshan,Guangdong",Apparel,22.60695,113.22772
CHINA,Haian Xinhuiya Co. Ltd.,"No.3 Longxu Road,Haian,Jiangsu,China",Apparel,31.85319,119.95953
CHINA,Guizhou Donghai Clothing Co. Ltd.,"Douyan Village,Qimo Town,Zhijin County,Bijie,Guizhou",Apparel,26.71996,105.80155
INDIA,Umang Exports. Co. Ltd,"P.N 2A & 2B,Dada Gurudev Nagar,Sanganer,Jaipur 302029,India",Apparel,26.8116279,75.7763927
CHINA,Nantong Gainly Garment Co.,"Ltd,No. 18 Yue Jiang Road,Gangzha Area,Nantong City,Jiangsu,China,226000",Apparel,32.0230508,120.8173962
CHINA,Younuo Garment Co. Ltd,"No. 88,Xiwen Road,Wenlin Town,Jiangyin City,Jiangsu,China",Apparel,31.72306,120.41364
CHINA,Changshu Xinping.co.Ltd,"Hao Wei Fu No.1 No.18th,Pu Jiang Road,XuPu Town,Changsu City,Jiangsu Province,China",Apparel,32.08489,120.5249
CHINA,Danyang Tongyu.Co. Ltd,"Jianye Road,Industrial park,Fangxian Town,Danyang City,Jiansgu,China",Apparel,31.99329,119.72409
CHINA,Shenzhen Zhaowen Textile Clothing Co. Ltd,"179,Dafu Road,Jutangshequ,Fucheng,Longhuaxinqu,Shenzhen,China",Apparel,22.73654,114.0264
CHINA,Haian Lianfa Garments.Co.,"Ltd,No.88,Henglian Road,Haian Town,Nantong City,Jiangsu Province,China",Apparel,32.50024,120.48082
CHINA,Ningbo Soulignant Garments. Co. Ltd,"No. 68 Gongmao Rd,Gu An,Mid lianfeng Rd,Yingzhou,Ningbo,China",Apparel,29.86794,121.48669
INDIA,Simran International Export PVT Ltd,"G1/697 Riico Industrial Area,Phase II,Bhiwadi,District. Alwar,Rajasthan 301019,India",Apparel,28.2049557,76.8638818
CHINA,Suzhou Jinhe Dyeing & Knitting Co. Ltd.,"Building 14,No. 2588 Tian Dang Road,Hengjing Street,Wuzhong District,SuZhao,Jiangsu,China",Apparel,30.88249099999999,120.704284
CHINA,Shanghai Jinlin Textile Co. Ltd.,"No,17,Sishui Road,Industrial Zone,Xuyi City,Jiangsu,China",Apparel,33.0195,118.50851
CHINA,Jiangnan Foreign Trading Co Ltd,"Rm#B203,Unit 2,No#44,Wuai Xin Village,Yiwu City,Zhejiang Province,China",Apparel,29.30572,120.09782
CHINA,Jiangsu  Hongfeng Computer Knitting Textiles Co.,"Ltd.,No.375,Yongjin Road,Miaoqiao Town,Zhangjiagang City,Jiansu,China",Apparel,31.8076,120.70013
CHINA,Ningbo Popmode Co. Ltd.,"No. 72-106,Gongmao 1 Road,Jishigang Industrial Zone,Ningbo,Zhejiang,Woven",Apparel,29.86794,121.48669
CHINA,Ningbo Purple Field Import & Export Co.Ltd.,"No.66,East on 2nd  Gongmao Road,Jishigang Industrial Area,Ningbo,Zhejiang Province,China",Apparel,29.86794,121.48669
CHINA,Master Garment Co. Ltd,No. 4 industrial zone Prosperous Small Mouths HuiZhou,Apparel,22.582217,114.483254
