country,name,address,sector
China,Yi Chang Tai (Shenzhen) Garment Factory,"1-2/F,Block 1,Liantang Industrial Park,48 Kangzheng Road,Danzhutou,Nanwan,Long Gang Qu,Shenzhen,Guangdong Province",Apparel
China,"Jiangsu Golden Empire Apparelparel Co.,Ltd","11 Changjiang Road,Yancheng Economy Development Zone,Yancheng,Jiangsu Province",Apparel
China,"Dragon-Jety Garments (Shenzhen) Co.,Ltd","130 Watergate Lane,Ping Wu Industrial Zone,Shenzhen,Guangdong Province",Apparel
China,"Hai Ning Yue Li Socks Co.,Ltd","19-20,Wan Ye Industry Zone,No. 368 Luo Long Road,Hai Ning City,Jiaxing,Zhejiang Province",Apparel
China,"Shanghai Conch Apparelparel Co.,Ltd","2085 Liuxiang Road,Jiading District,Shanghai",Apparel
Vietnam,Outdoor Designs VINA Ltd,"24A,To 6,KP Khanh Hoi,Tan Phuoc Khanh,Tan Uyen District,Tan Uyen,Binh Duong Province",Apparel
China,"Shanghai Big River Knitwear Co.,Ltd","2799 Humin Road,Shanghai",Apparel
China,"Wenzhou Kingstar Leather Products Co.,Ltd","40 Yufeng Road,Xinfeng Village,Xianyan Town,Wenzhou,Zhejiang Province",Apparel
China,Yangzhou Xinsheng Outdoor Products Factory,"5 Guangming Road,Huadang Town,Jiangdu,Yangzhou,Jiangsu Province",Apparel
New Zealand,New Zealand Gloves Ltd,"77 Adams Drive,Pukekohe,Franklin,Auckland",Apparel
New Zealand,New Zealand Sock Company,"8 Kermodes Streeet,Ashburton",Apparel
Vietnam,TEX-GIANG  JOINT STOCK COMPANY,"BII - 8 Section,D3 Street,Tan Huong Industrial Zone,Tien Giang Province",Apparel
China,"Shanghai Chengshang Textile & Clothing Co.,Ltd","Bldg. 35,No. 7162,Hu Nan Road,Pudong District,Shanghai",Apparel
China,Wan Yang Garment Factory,"Daihe Coal Mine,Huaibei,Anhui Province",Apparel
China,"Shenzhen Natural Home Textile Co.,Ltd","Dakang Long Village,Henggang Town,Shenzhen,Guangdong Province",Apparel
China,Litai Textile Materials and Garments Stitching Company,"Ganpu New Industrial Zone,Haiyan Town,Jiaxing,Zhejiang Province",Apparel
China,"Wuxi Ying Bin Socks Co.,Ltd","He Lie Street Industry Zone,Jin Gui Road,Hu Dai Industry Zone,Bin Hu District,Wuxi,Jiangsu Province",Apparel
Indonesia,PT. PancApparelrima Ekabrothers,"Jalan Raya Siliwangi 1km No. 178A,Kec Jatiuwung,Tangerang",Apparel
China,Wai Wah Ski-Wear Factory Ltd,"Jinling Industrial Zone,Zone A,Tangxia Town,Pengjiang Zone,Jiangmen,Guangdong Province",Apparel
China,Longyou Qinda Tent Factory,"Linjiang Industry Area,10 Lingjiang Road,Longyou,Quzhou,Zhejiang Province",Apparel
Vietnam,"The Soul Gear Vina Co.,Ltd","Lot M-1-CN,NA 7 St,My Phuoc-II Industrial Park,Ben Cat,Binh Duong Province",Apparel
China,"Zhejiang Top Circle Textiles Co.,Ltd","118 Fanrong,Jiaxing,Zhejiang Province",Apparel
China,"Yangzhou Xinte Travelling Goods Co.,Ltd","Yuelai Road,Lidian town,Hanjiang,Yangzhou,Jiangsu Province",Apparel
China,"Shanghai Zonda Outdoor Goods Co.,Ltd","528 Xingge Road,Xingqiao Town,Songjiang District,Shanghai,Jiangsu Province",Apparel
China,"Ningbo Beston Plastics Co.,Ltd","No.66 Yicheng Road,Xiaogang,Beilun,Ningbo,Zhejiang Province",Apparel
