country,name,address,sector
BANGLADESH,NOMAN TERRY TOWEL MILLS LTD,"VAWAL MIRZAPUR,GAZIPUR,BANGLADESH;",Apparel
BANGLADESH,ZABER AND ZUBAIR FABRICS LTD,"PAGAR,TONGI,GAZIPUR,DHAKA,BANGLADESH;",Apparel
CHINA,ANHUI LANLAN TOWEL & SHEET CO LTD,"TEXTILE INDUSTRIAL PARK,ZONGYANG ECONOMIC DEVELOPMENT ZONE,ZONGYANG,ANQING,ANHUI,CHINA;",Apparel
CHINA,BAIJIA (FUJIAN) UNDERWEAR CO LTD - HUAHAI VILLAGE,"BAIJIA INDUSTRIAL PARK,HUAHAI VILLAGE,SHENHU PARK OF JINJIANG ECONOM,JINJIANG,FUJIAN,CHINA;",Apparel
CHINA,CREATION TEXTILES CO LTD,"NO. 12 SHITIAN ROAD,YANGCHENGHU TOWN,XIANGCHENG DISTRICT,SUZHOU,JIANGSU,CHINA;",Apparel
CHINA,DONGGUAN CHA SHAN WING LUEN KNITTING FACTORY,"LI BEN INDUSTRIAL PARK,NAN SHE INDUSTRIAL AREA,CHA SHAN TOWN,DONGGUAN,GUANGDONG,CHINA;",Apparel
CHINA,FUJIAN JINJIANG HUAMEI KNITTING AND CLOTHING CO LTD,"DONGSHAN,SHENHU TOWN,JINJIANG,FUJIAN,CHINA;",Apparel
CHINA,FUZHOU QINGXIANG PLASTIC & RUBBER CO LTD,"YUZHAI VILLAGE,GAISHAN TOWN,CANGSHAN DISTRICT,FUZHOU,FUJIAN,CHINA;",Apparel
CHINA,FUZHOU TIANFU PLASTIC CO LTD,"16 DAOSHANSHAN ROAD,AOSHAN VILLAGE LUOZHOU TOWN CANGSHAN DISTRICT,FUZHOU,FUJIAN,CHINA;",Apparel
CHINA,HANGZHOU QIYAO TEXTILE CO LTD,"NO 17 HONGDA ROAD,LINPING,YUHANG,HANGZHOU,ZHEJIANG,CHINA;",Apparel
CHINA,HE ZE FITEX APPAREL CO LTD,"WEST OF HOSPITAL,WANGHAOTUN TOWN,MUDAN DISTRICT,HEZE,SHANDONG,CHINA;",Apparel
CHINA,HEZE ELEGANCE FASHIONS LTD,"NO 978 JINAN ROAD,HEZE,SHANDONG,CHINA;",Apparel
CHINA,JIANDE XINDA METAL CRAFT CO LTD,"HOU TANG INDUSTRIAL ZONE,JIANDE,HANGZHOU,HANGZHOU,ZHEJIANG,CHINA;",Apparel
CHINA,JIANGSU BONAS KNITTING CO LTD,"6 YIWU RD,SHUYANG,JIANGSU,CHINA;",Apparel
CHINA,JIAXING XIU XIN KNITTING CO LTD,"199 CHAOHUI ROAD,NANHU ECONOMIC AREA,JIAXING,ZHEJIANG,CHINA;",Apparel
CHINA,JINGJIANG XINJIYUAN KNITTING CO LTD-2,"NO. 3 HUIFENG JIXIANG ROAD DONGXING TOWN,JINGJIANG,JINGJIANG,JIANGSU,CHINA;",Apparel
CHINA,LIANGSHAN HENGTAI GARMENTS MANUFACTURING CO LTD,"SHOUZHANGJI ECONOMY DEVELOPMENT DISTRICT,LIANGSHAN,JINING,SHANDONG,CHINA;",Apparel
CHINA,M & F HOMETEX CO LTD,"SOUTH FUNIU ROAD,NANYANG,HENAN,CHINA;",Apparel
CHINA,NANJING HENGGU ACCESSORIES CO LTD,"NO 8 HUASHANG ROAD,LUKOU CHINESE ENTREPRENEURS PARK,LUKOU TOWN,JIANGNING,NANJING,JIANGSU",Apparel
CHINA,NANTONG SIAN TEXTILE CRAFTS CO LTD,"NO 18 WEI-ER ROAD,TONGZHOU DISTRICT,NANTONG,JIANGSU,CHINA;",Apparel
CHINA,NANTONG YAOXING,"NO.999,TONGFUBEI RD.,CHONGCHUAN,NANTONG,NANTONG,JIANGSU",Apparel
