country,name,address,sector
CHINA,WENZHOU JIETU(AOLUN) SHOES FACTORY,"NO.8 SHUANGBAO WEST ROAD, OUHAI ECONOMIC DEVELOPM P.C. 325014, WENZHOU, CHINA",Apparel
CHINA,"QUANZHOU XINXING FOOTWEAR CO., LTD","WUYI INDUSTIAL ZONE, BAIQI VILLAGE, HUI'AN COUNTY,QUANZHOU CITY, FUJIAN PROVINCE□",Apparel
CHINA,QIANG XING FOOTWEAR LTD,"NO.3 OF FIRST LANE LONGZHU ROAD,NANQU SHANG TANG INDUSTRIAL ZONE ,ZHONGSHAN CITY ,GUANGDONG PROVINCE",Apparel
CHINA,SHANTOU CITY OVERSEAS CHINESE UNION TEXTILES & ARTS LIMITED,"2/F BLOCK 1, NO. 79 JINHU ROAD, SHANTOU CITY, GUANGDONG, CHINA",Apparel
CHINA,JIAXING ZHUOCHEN TRADE CO LTD,NO.1446 TUDIAN ROAD TONGXIANG CITY ZHEJIANG PROVINCE CHINA,Apparel
CHINA,XIN CHANG CHANG KNITTING FACTORY,"KIU HING ROAD, 2-12 TONGHU ECONOMIC DEVELOPMENT ZONE，HUIZHOU, CHINA",Apparel
CHINA,NINGBO HUAYI GARMENTS CO LTD,"NO.11 DONGQIAN LAKE AREA,YINXIAN AVENUE,NINGBO,CHINA",Apparel
CHINA,NANJING UNISON TRADING CO LTD,"NO.1 BLUDING ,NO,2 YING HU INDUSTRIAL PARK,AN QING ECONOMIC DEVELOPMENT ZONE AN QING/MS.FENG HONG",Apparel
CHINA,NINGBO RIZI DRESSES CO LTD,"NO. 20 WENWEI ROAD,GULIN TOWN.NINGBO.CHINA",Apparel
CHINA,FU WING GARMENT FACTORY LTD,"NO.11 LE XING ROAD.LE CHONG DEVELOPMENT ZONE,SAN BU DISTRICT,KAIPING CITY GUANGDONG PROVINCE CHINA",Apparel
CHINA,DONGSHEN RIMING (HESHI GARMENT FACTORY),"DONGSHENG  RIMING DEVELOPMENT LTD.WENMING  ROAD NO.28, XIAOXIANG, WANJIANG ZONE, 523048, DONGGUAN,GUANGDONG,CHIN",Apparel
CHINA,SUZHOU INDUSTRIAL (SHAMASH) (FREESILK),"NO.2,DONGJING INDUSTRIAL ZONE, DONGFU ROAD, S.I.P  CHINA 215123",Apparel
