country,name,address,sector
PK,BOX RING,"MAQBOOL ROAD ,NOAL MORE OPP WAZIRABAD ROAD, Sialkot, 51310, Punjab",Apparel
ES,"Industrias Químicas Perlacos, S.L.","c/ Berlin, 33 - Pol. Ind., Torres de la Alameda, 28813, Madrid",Apparel
CN,"Jiangsu Feilong Plastic Co., Ltd ","NO.158 HUBIN SOUTH ROAD ,LUJIAXIANG, NIUTANG TOWN, WUJIN DISTRICT, ChangZhou, 213168, Jiangsu",Apparel
CZ,A.Schmied s.r.o.,"Husova 560, PO-Box 42, Trhove Sviny, 37401, Jihocesky",Apparel
JP,Daitatsu Co Ltd,"111, Gohmae, Ojima-Cho, Nishio, 445-0006, Aichi",Apparel
PR,Protego,"147 Comercio Avenue, Hatillo, 659, Hatillo",Apparel
EG,FUTURE FASHION,"92 A-1st industrial Zone, (Free Zone), Giza, 12581, 6th of October",Apparel
CN,"ZhuJi HuaLiDa Knitting and Textile Co., Ltd.","Chuntang West Village,, Caota Town,, Zhuji City, 311812, Zhejiang",Apparel
GT,Mata Textiles S.A.,"KM 16.5 Carretera A San Juan Scatepequez, Parque Industrial Mixco Norte Lote C10-11 , Mixco, 1006, Guatemala",Apparel
CN,"Shanghai Qianrun Garments Co., Ltd","No.233, Lane1888, Daye Road,, WuQiao Industrial Zone,, FengXian District,, Shanghai, 201402, Shanghai Shi",Apparel
SV,Textiles Opico SA de CV,"KM 31.4 Carretera a Santa Ana, San Juan Opico, 1101, La Libertad",Apparel
VN,"PHI Co., Ltd.","No. 10, Dai An Industrial Zone, Tu Minh , Hai Duong, 17000, Hai Duong",Apparel
CN,Regina Miracle Intimate Apparel (Shenzhen) Ltd.,"No.5 Cengyao Industrial Estate Yulu, Gongming Baoan ,Shenzhen,Guangdong, P.R.China , Gongming Yulu, Bao'an District, Shenzhen, 518132, Guangdong",Apparel|Health
CN,"Shanghai Weijie Garment Co., Ltd.","No. of 1228, Huiping Road,, Nanxiang Town, Jiading District, Shanghai, 201802, Shanghai",Apparel
CN,ZHUCHENG HENGWEI CLOTHING CO.LTD,"Southern head of east ourter ring, Shandong Province, Zhucheng City, 262200, Shandong",Apparel
ID,PT. Kanindo Makmur Jaya,"Jl. Raya Jepara Kudus KM 19,, Ds. Pendosawalan,, Kecamatan Kalinyamatan, Kabupaten Jepara, 59462, Jawa Tengah",Apparel
CN,"Kunshan Gea-Reach Garments Co., Ltd.","No.577 Jiguang North Road, Shipu Qiandeng Town, Kunshan, 215343, Jiangsu",Apparel
CN,MOLTEN SPORTS (SIHONG) CORPORATION,"28 Hongyuan Road , Sihong Economic Development Zone, Suqian, 223900, Jiangsu",Apparel
CA,CYC Manufacturing,"68 East 1st Ave, Vancouver, V5T 1A1, British Columbia",Apparel
CN,CHANGSHU KINSEI FASHION CO LTD,"No.1 MEIBEI RD, MEILI TOWN,, CHANGSHU, 215511, Jiangsu",Apparel
CN,FOSHAN SHUNDE STRATEGIC GARMENT LTD,"Chencun Industrial Park, Shun De, Fo Shan, 528313, Guangdong",Apparel
MX,"Forta Lab, S.A. de C.V.","Av. Central 206, Manzana 2, Parque Industrial Toluca 2000, Toluca, 50233, Toluca",Apparel
CN,Qingdao Kiyomoto Suhlim Bags Co Ltd,"Dongjie Village, Lingshanwei Town, Jiaonan City, Qingdao, 266427, Shandong",Apparel
CN,Rich Policy (Zheng Yang Sporting Goods Co Ltd),"NO.1 Hou Dao Road East, San Tun Industrial park, HouJie Town, Dongguan, 523941, Guangdong",Apparel
CN,"Shanghai Songjiang ACE luggage Co.,Ltd","2589Shebei Road, Sheshan Town, Songjiang District, Shanghai, 201602, Shanghai Shi",Apparel
CN,"SHISHI  HENGCHANG  SPORTS  GOODS  TRADE  CO.,LTD","ZONGSAN   INDUSTRIAL   AREA,, GANGBIAN,YONGNING TOWN,, SHISHI CITY,, Quanzhou, 362700, Fujian",Apparel
CN,Universe Ind & Development (ShenZhen) Co Ltd,"446, Songbai Road, Gongming Street, Guangming New District, Shenzhen,  518106, Guangdong",Apparel
CN,Yancheng Charlotte Socks Co. Ltd,"NO. 188 YINGBIN AVENUE, XIANGSHUI CITY, Yancheng, 224600, Jiangsu",Apparel
