country,name,address,sector
Bangladesh,Alif Embroidery Village Ltd.,"Bangobandhu Road, Tangabari, Ashulia, Savar, Dhaka 1341",Apparel
India,Ambathur Clothing Private Ltd.,"No. D16, Industrial Estate, Ambathur, Chennai - 600 058",Apparel
China,Anhui Beiyade Garment Co. Ltd. (YinShanHong),"Industrial Concentration District Zhenbei District, Shiqiao Dangtu, Maanshan City, Anhui Province",Apparel
India,Bhartiya International Ltd.,"Apiic Industrial Park, Kondur Village, Tada Mandal, Spsr Nellore Dist, 524401",Apparel
China,Changshu Kailan Knitting Co. Ltd.,"No. 8, Penghu Road, New & Hi-tech Industrial Development Zone ",Apparel
China,Changzhou Ability Garments Co. Ltd.,"No. 69 Qing Yang North Road, Changzhou, 213021",Apparel
China,Changzhou Beisheng Garments Co. Ltd.,"Fukang Road, Xinbei District, Changzhou, Jiangsu Province",Apparel
China,Changzhou Xuenaili Garment Co. Ltd.,"West Street, Daibu Town, Liyang City, Changzhou, Jiangsu Province",Apparel
Bangladesh,DB-Tex Ltd.,"Nayapara, Kashimpur, Gazipur",Apparel
Mauritius,"Denim De L'Ile Ltd.","Royal Road 30904, Ile D'Ambre,  Riviere Du Rempart ",Apparel
China,Donglong (Tancheng) Garments Co. Ltd.,"Yanghong Road Yangji Town, Tancheng City, Shandong Province",Apparel
China,Duocai Fabric Print Factory,"Baoshan Village, Ganpu Town, Hanyan count, Jiaxing, Zhejiang Province",Apparel
Bangladesh,Echotex Ltd.,"Chandra, Pollibidyut, Kaliakior, Gazipur",Apparel
Bangladesh,Epyllion Style Ltd.,"Nayapara, Vhawal Mirzapur, Gazipur Sadar, Gazipur",Apparel
Bangladesh,Epyllion Washing Ltd.,"Jangaliapara (Bangla Bazar), Bhawal Mirzapur, Gazipur, 1703",Apparel
India,Eureka Leather Garments ,"SF. No. 195/1, 196/1 M.C. Road, Pachakuppam- Village, Vadaputhupattu- Post, Ambur-Taluka, 635812",Apparel
Vietnam,Everpia Jointstock Company,"Noi Thuong Residential Area, Duong Xa Commune, Gia Lam District, Ha Noi City",Apparel
India,Evolv Clothing Company Pvt. Ltd. - Padalam,"No. 14/2; 3/3; Vedanthangal High Road, Kolambakkam, Maduranthagam Taluk, Tamil Nadu 603308, Chennai",Apparel
India,Evolv Clothing Company Pvt. Ltd. - Perungudi,"No. 33 & 41 Corporation Road, 4th Street, Perungudi, Tamil Nadu, 600096, Chennai",Apparel
Bangladesh,Eypllion Style Ltd.,"Bahadurpur, Vawal Mirzapur, Gazipur Sadar, Gazipur, 1703",Apparel
China,Felix Hangzhou Garments Co. Ltd.,"No. 7, Jingxing Road, Economic Development Zone, She County, Huangshan City, Anhui Province",Apparel
Bangladesh,"Genesis Fashions Ltd. ","126/1 Kadda Nandun, Kadda Bazar, Gazipur Sadar, Gazipur Dhaka",Apparel
China,Grandshine Technology Co. Ltd.,"3F, Jinchangda Industrial Park, Zhangkengjing, Guanlan, Bao’an District, Shenzhen, Guangdong",Apparel
China,Haiyan Shenda Clothes Co. Ltd. ,"314304 Haitang Street, Haiyan City, Zheijang",Apparel
Bangladesh,Hamza Textiles Ltd.,"Nayapara, Kashimpur, Gazipur",Apparel
China,Hang Ngai Garment Ltd.,"1-3 Floor, No. 9 Building, 82 Shjqi Village, Shiqian Road,Shiqi Town, Panyu, Guangzhou",Apparel
China,Hangzhou Fuyang Zhongrui Knitting Mill,"Huajia Natural Village, GuaQiao Bu Village, Changkou Town, FuYang District",Apparel
China,Hangzhou Yingli Garments Co. Ltd.,"Dingshan Street, Wangmei Road, Linping, Hangzhou, Zhejiang Province",Apparel
China,High Fashion Co. Ltd.,"No. 8 Qiannong Road, Xiaoshan ETDZ, Hangzhou, 311231",Apparel
China,Honglilai Leather & Garment Co. Ltd. ,"Bin Cheng Industry Zone, Dong Hai, Feng Ze District Quanzhou",Apparel
China,Huai An Yuan Tong Headwear Mfg. Co. Ltd.,"No. 30 & 32 Yan Huang Avenue, Lian Shui Economic Development Zone, Jiang Su Province",Apparel
Vietnam,Hung Long Printing Company Ltd.,"Hau Village, Dai Lam Commune, Lang Giang District, Bac Giang Province",Apparel
UAE,Indigo Garments FZE,"Plot No. H1-03, 04 & 05 & P4-11, Sharjah Airport International Free Zone, Sharjah, Saif Zone",Apparel
UAE,Indigo Garments Workshop,"Plot No. 236, Sector 1, near Emirates Gas New Industrial Area, Ajman",Apparel
UAE,Indigo Garments Workshop BR-2,"Plot no. 104, Jurf Industrial 1, Near Ajman Car Souq, Ajman",Apparel
India,Indus Craft,"No. 58, Nallambakkam  Village, Via Vandalur, Chennai, 600048",Apparel
India,Jeans Knit Private Ltd Unit 3,"No 34/A, II Phase, Peenya Industrial Area, Bangalore, 561028",Apparel
India,Jeans Knit Private Ltd Unit 4,"No. 20-A/21-E, II Phase, Peenya Industrial Area, Bangalore, 562028",Apparel
India,Jeans Knit Private Ltd Unit 6,"Plot No. K56, K57 & K59, Sipcot Apparel Park, Irungattukottai, Sriperambudur, 602105, Chennai",Apparel
India,Jeyam Printing,"No. 14/2,3/3, Vednathangal High Road, Kolambakkam Village, Kancheepuram Dist",Apparel
China,Jiang Su Runtian Garment Co. Ltd. ,"No.1 Wangyuan Rd, East Industrial Park, RuGao, Jiangshu, China",Apparel
China,Jiangsu Ability Fashion Garments Co. Ltd. ,"No. 111 Huayang North Road, Jintan, Changzhou, 213200",Apparel
Bangladesh,"Jinnat Knitwears Ltd. ","Sardaganj, Kashimpur, Gazipur",Apparel
India,Juseffex,"No. 26B, 15 &16, Sidco Industrial Estate Chennai, 600 098",Apparel
China,Kangshun Print,"216 Jixing Road Wuyuan Industrial Park, Wuyuan Town Haiyan ",Apparel
Bangladesh,Lammim Associates (Unit-2) ,"Bangabondhu Road, Tongabari, Ashulia, Savar, Dhaka, 1341",Apparel
China,Langxi Yidele Garment Co. Ltd. (Simaite),"Xingfu Road, Dingbu Village, Meizhu Town, Langxi County, Xuancheng City, Anhui Province",Apparel
China,Leekwan Embroidery (Haining) Ltd. ,"No. 2 Hongqi Road, Maqiao Warp Knitting Industrial Zone Haining City, Zhejiang Province",Apparel
China,Long Hua Embroidery,"239 Chaoyang West Road, Wuyuan Town Haiyan ",Apparel
China,Nantong Foremost Headwears Co. Ltd.,"No. 18 Foremost Road, QinZao Town, Gangzha District, Nantong 226008, Jiangsu",Apparel
China,Nantong Jackbeanie Headwear Garment Co. Ltd.,"No. 808, The Third Industry Park, Guoyuan Town, Rugao City Nantong",Apparel
China,NanTong JiLi Print and Embroidery Company,"No. 8, Ji Long Road, Rudong City ",Apparel
Bangladesh,Neo Fashion Ltd.,"Varari, Rajfulbaria, Savar, Dhaka-1340",Apparel
Turkey,Nersoy Tekstil San. Ve Tic. Ltd. Sti.,"Organize Sanayi Bolgesi 4, Nolu Cadde 1880 Parsel, Caycuma, Zonguldak",Apparel
China,Ningbo Holi Garments Co. Ltd.,"Shewang Industrial Zone, Chunhu Town, Fenghua City, Ningbo ",Apparel
China,Ningbo Venux Apparel Co. Ltd.,"110 South Xiwu Road, Fenghua Ningbo, Zhejiang Province",Apparel
China,Pinghu Longtai Garments Co. Ltd.,"No.1 Dianchang Road, Zhapu Town, Pinghu City, Jiaxing, Zhejiang Province    ",Apparel
China,Pinghu Sensen Clothing Co. Ltd. ,"Zhangqiao Village, Caoqiao Street, Pinghu, Jiaxing City",Apparel
India,Ritu Textile,"1423/1425, Laxmi Industrial Complex Back Side Raghav Motor Service Station, Batala Road Amritsar, 143001",Apparel
Vietnam,Saitex 2 Cutting & Sewing ,"Lot 225, Amata Industrial Park, Long Binh Ward, Bien Hoa City, Dong Nai Province",Apparel
Vietnam,Saitex 4 Laundry,"Lot 226/4, Amata Industrial Park, Long Binh Ward, Bien Hoa City, Dong Nai Province",Apparel
Vietnam,Saitex 5 Finishing,"Lot 224, Amata Industrial Park, Long Binh Ward, Bien Hoa City, Dong Nai Province",Apparel
China,ShaoXing City ShangYu Shuaite Garments Co. Ltd.,"Baiguan Industrial Park, Baiguan Street, Shangyu District, ShaoXing City",Apparel
Bangladesh,Square Fashions Ltd.,"Zamirdia, Habir Bari, Bhaluka, Mymensigh ",Apparel
Bangladesh,Square Fashions Unit 2,"Dhaka City Bypass Road, Vogra, Gazipur",Apparel
Morocco,Sun Belts Europe S.a.r.l.,"Zone Industrielle, Allée 01, Lot. 032, Tanger, Tangier-Tetouan",Apparel
Bangladesh,Thanbee Print World Ltd.,"Sardagonj, Kashimpur, Gazipur",Apparel
India,Thirumalai Embroidery,"No.33, Corporation Road, Perungudi, Chennai, 600 096 and No.14/2,3/3, Vedanthangal High Road, Kolambakkam Village, Kancheepuram Dist",Apparel
China,Together Garment Factory,"2/F, No. 132 Fucheng Avenue, Taicheng, Taishan City",Apparel
China,Tongxiang Miracle Knitting Factory Co. Ltd.,"No. 2 Industrial Area Economic Development Zone, Tongxiang Hangzhou, Zhejiang Province",Apparel
Vietnam,Vert Fashion Company Ltd.,"Kim Trang Hamlet, Viet Lap Commune, Tan Yen District",Apparel
India,"White House, Embroidery and Printing Division","No. 88A, 1&2 Keelakottaiyur Village, Kelambakkam Road, Melakkotaiyur Post, Chengalpattu Taluk, Kancheepuram",Apparel
China,Xuzhou Yinmao Clothing Ltd. Co.,"No. 177 Xuhai RD, XinAn Town, XinYi City",Apparel
China,Yangzhou City Jiangdu Rixing Garments Co. Ltd. ,"Renmin Road, Jiangdu District, Yangzhou City,Jiangsu Province,China",Apparel
China,Yangzhou Jinhong Garment Making Co. Ltd.,"West Fuming Street, Xinba Community, Lidian Town, Yangzhou",Apparel
China,Ying Si Fan Clothing Co. Ltd.,"Telegoal Industrial, Dong Yong Zhen, Guangzhou, GuangDong ",Apparel
China,Zhangjiagang City Sheng Yuan Knitting Clothing Co. Ltd.,"Jiangjia Road, Miaoqiao, Tangqiao Town, Zhangjiagang City",Apparel
China,Zhejiang Sanyuan Knitting Co. Ltd.,"Hongqifan (The Second Phase Industrial Zone), Fuchunjiang Town, Tonglu County Hangzhou ",Apparel
China,ZhongShan Easy On Garment Manufactory Co. Ltd.,"No. 9, Xingye Road, Xinxu District, Sanxiang Town, Zhongshan City, Guangdong Province",Apparel
China,ZhongShan Easy On Garment Manufactory Co. Ltd. Second Branch,"No. 6 Jinwan Road, Xinxu District, Sanxiang Town, Zhongshan City, Guangdong Province",Apparel
China,ZhuJi MingRun,"No. 75, Xiehe Road, West Development Zone, Taozhu Street, Zhuji city, Zhejiang Province",Apparel
